JD,Magnitude,Band
2456955.56667,7.6,Vis.
2456956.32,7.7,Vis.
2456956.326,8,Vis.
2456956.3583,7.6,Vis.
2456957.4028,7.6,Vis.
2456957.7,7.5,Vis.
2456957.70208,7.8,Vis.
2456958.2,7.4,Vis.
2456958.2438,7.6,Vis.
2456958.25,7.5,Vis.
2456958.2535,7.6,Vis.
2456958.3,7.2,Vis.
2456958.34,8.2,Vis.
2456958.4292,7.2,Vis.
2456958.546,8,Vis.
2456959.2917,7.6,Vis.
2456959.5,7.5,Vis.
2456960.4,7.5,Vis.
2456960.6007,7.3,Vis.
2456962.3229,7.6,Vis.
2456962.383,7.26,Vis.
2456962.63403,7.9,Vis.
2456963.28125,7.7,Vis.
2456963.3181,7.6,Vis.
2456964.3069,7.6,Vis.
2456965.2333,7.7,Vis.
2456965.27,8.2,Vis.
2456966.2,8.3,Vis.
2456966.3,7.5,Vis.
2456967.23403,7.8,Vis.
2456967.2587,7.7,Vis.
2456967.3125,8,Vis.
2456967.34,7,Vis.
2456969.3396,8.1,Vis.
2456969.55903,8,Vis.
2456969.636,8.3,Vis.
2456969.7,7.8,Vis.
2456970.25,7.8,Vis.
2456971.2244,8.1,Vis.
2456971.3118,7.6,Vis.
2456971.35,7.8,Vis.
2456971.60833,8,Vis.
2456972.25069,8,Vis.
2456972.3,7.9,Vis.
2456973.2347,7.6,Vis.
2456973.2375,7.8,Vis.
2456973.3917,8.1,Vis.
2456974.337,8.4,Vis.
2456974.3431,8.2,Vis.
2456974.376,7.58,Vis.
2456977.2,8.2,Vis.
2456977.2354,7.9,Vis.
2456977.48611,8.3,Vis.
2456978.20903,8.2,Vis.
2456979.35486,7.9,Vis.
2456979.55833,8.2,Vis.
2456979.6,8.2,Vis.
2456979.6,8.2,Vis.
2456980.2,8.5,Vis.
2456980.3169,8.3,Vis.
2456980.365,8.6,Vis.
2456981.35,8.5,Vis.
2456982.36,8.3,Vis.
2456982.5,8.3,Vis.
2456982.5,8.53,Vis.
2456983.3,8.5,Vis.
2456983.62,8.6,Vis.
2456984.1875,8.3,Vis.
2456985.2125,8.7,Vis.
2456985.253,8.9,Vis.
2456985.34,8.8,Vis.
2456985.59167,8.7,Vis.
2456986.2,8.2,Vis.
2456986.2569,8.8,Vis.
2456986.3201,8.9,Vis.
2456988.1979,8.9,Vis.
2456988.21458,8.6,Vis.
2456990.3,8.8,Vis.
2456990.4,8.8,Vis.
2456990.66389,9.4,Vis.
2456992.57847,8.7,Vis.
2456994.27708,8.7,Vis.
2456994.28194,9.1,Vis.
2456996.2,9.7,Vis.
2456996.5,8.9,Vis.
2456996.574,8.9,Vis.
2456997.26736,9.2,Vis.
2456998.3,9,Vis.
2456998.5,9.3,Vis.
2456999.38,9,Vis.
2457000.2146,9.3,Vis.
2457000.23194,8.5,Vis.
2457000.56944,9.7,Vis.
2457001.2243,9.3,Vis.
2457005.3,9.9,Vis.
2457005.3167,10.1,Vis.
2457005.39,9.1,Vis.
2457006.2,9.1,Vis.
2457006.3,9.3,Vis.
2457007.54653,9.9,Vis.
2457009.2,10,Vis.
2457011.18056,9.8,Vis.
2457011.5,10,Vis.
2457012.39,9.8,Vis.
2457013.2,10.2,Vis.
2457013.2,10.7,Vis.
2457013.3,9.3,Vis.
2457016.2467,10.7,Vis.
2457016.4,9.8,Vis.
2457016.716,10.5,Vis.
2457017.58264,10.2,Vis.
2457018.21,10,Vis.
2457018.71,10.6,Vis.
2457019.18264,10.4,Vis.
2457020.2104,11.1,Vis.
2457020.27569,10.4,Vis.
2457020.38,10.2,Vis.
2457020.5,10.9,Vis.
2457021.2,11,Vis.
2457022,10.4,Vis.
2457025.2438,11.1,Vis.
2457027.1875,11.1,Vis.
2457027.2,11.1,Vis.
2457027.21,10.6,Vis.
2457027.2215,10.8,Vis.
2457027.2375,10.6,Vis.
2457027.2778,11,Vis.
2457027.2861,10.7,Vis.
2457027.4,11.1,Vis.
2457027.56181,10.9,Vis.
2457028.2,10.9,Vis.
2457028.525,10.7,Vis.
2457030.5,10.9,Vis.
2457033.3,10.9,Vis.
2457033.61,11.3,Vis.
2457038.2,11.1,Vis.
2457039.23,11.3,Vis.
2457041.2819,11.4,Vis.
2457041.53125,11.3,Vis.
2457042,11.3,Vis.
2457043,11.5,Vis.
2457049.01944,11.1,Vis.
2457049.6979,11.4,Vis.
2457051.6507,11.5,Vis.
