JD,Magnitude,Band
2458833.25764,7,Vis.
2458837.6757,7,Vis.
2458856.2,7,Vis.
2458858.75,7,Vis.
2458865.22153,7,Vis.
2458867.76,7,Vis.
2458871.25,7,Vis.
2457110.625,7.01,Vis.
2458075.4375,7.03,Vis.
2457327.374,7.05,Vis.
2457702.4278,7.05,Vis.
2455818.40972,7.06,Vis.
2458096.4528,7.06,Vis.
2455198.5,7.1,Vis.
2455228.3,7.1,Vis.
2455231.2339,7.1,Vis.
2455242,7.1,Vis.
2455619.6,7.1,Vis.
2455623.9,7.1,Vis.
2455783.4,7.1,Vis.
2455798.48,7.1,Vis.
2455799.613,7.1,Vis.
2455810.3729,7.1,Vis.
2455818.14861,7.1,Vis.
2456161.4,7.1,Vis.
2456167.52,7.1,Vis.
2456168.30417,7.1,Vis.
2456175.3278,7.1,Vis.
2456178.4063,7.1,Vis.
2456179.3111,7.1,Vis.
2456180.6292,7.1,Vis.
2456181.3,7.1,Vis.
2456182.6229,7.1,Vis.
2456183.65278,7.1,Vis.
2456184.36806,7.1,Vis.
2456186.33,7.1,Vis.
2456190.3007,7.1,Vis.
2456357.9,7.1,Vis.
2456368.8,7.1,Vis.
2456534.3694,7.1,Vis.
2456539.55,7.1,Vis.
2456540.42,7.1,Vis.
2456543.38,7.1,Vis.
2456548.3299,7.1,Vis.
2456563.2889,7.1,Vis.
2456570.36,7.1,Vis.
2456572.3632,7.1,Vis.
2456573.3625,7.1,Vis.
2456573.67847,7.1,Vis.
2456574.38,7.1,Vis.
2456574.5222,7.1,Vis.
2456577.21597,7.1,Vis.
2456578.23889,7.1,Vis.
2456582.29444,7.1,Vis.
2456947.62986,7.1,Vis.
2457111.6188,7.1,Vis.
2457141.93403,7.1,Vis.
2457148.8,7.1,Vis.
2457500.3951,7.1,Vis.
2457504.5139,7.1,Vis.
2457512.90694,7.1,Vis.
2457516.48,7.1,Vis.
2457690.5,7.1,Vis.
2457691.7125,7.1,Vis.
2457694.32083,7.1,Vis.
2457696.27,7.1,Vis.
2457703.26,7.1,Vis.
2457717.23819,7.1,Vis.
2458069.275,7.1,Vis.
2458071.3007,7.1,Vis.
2458072.4,7.1,Vis.
2458073.34444,7.1,Vis.
2458078.6,7.1,Vis.
2458079.4,7.1,Vis.
2458083.25,7.1,Vis.
2458086.32,7.1,Vis.
2458096.3,7.1,Vis.
2458096.3,7.1,Vis.
2458100.3,7.1,Vis.
2458103.29,7.1,Vis.
2458109.2125,7.1,Vis.
2458457.25,7.1,Vis.
2458465.3236,7.1,Vis.
2458835.6549,7.1,Vis.
2458848.2168,7.1,Vis.
2458850.2083,7.1,Vis.
2458853.2111,7.1,Vis.
2458865.2,7.1,Vis.
2457680.4028,7.11,Vis.
2458099.3333,7.11,Vis.
2457328.409,7.12,Vis.
2458070.3819,7.12,Vis.
2455785.6146,7.15,Vis.
2456177.3639,7.15,Vis.
2456546.3193,7.15,Vis.
2456548.3062,7.15,Vis.
2456559.311,7.15,Vis.
2457690.4514,7.16,Vis.
2455800.31667,7.18,Vis.
2455198.2417,7.2,Vis.
2455198.2618,7.2,Vis.
2455199.19028,7.2,Vis.
2455233.2245,7.2,Vis.
2455237.64236,7.2,Vis.
2455239,7.2,Vis.
2455248.9,7.2,Vis.
2455412.44375,7.2,Vis.
2455419.31528,7.2,Vis.
2455422.31806,7.2,Vis.
2455613.9,7.2,Vis.
2455624.9528,7.2,Vis.
2455634.9417,7.2,Vis.
2455789.36,7.2,Vis.
2455792.32639,7.2,Vis.
2455792.4,7.2,Vis.
2455794.57569,7.2,Vis.
2455795.3,7.2,Vis.
2455796.29792,7.2,Vis.
2455797.7056,7.2,Vis.
2455800.31597,7.2,Vis.
2455800.4,7.2,Vis.
2455800.45556,7.2,Vis.
2455803.6944,7.2,Vis.
2455804.3,7.2,Vis.
2455807.31,7.2,Vis.
2455807.4813,7.2,Vis.
2455808.4982,7.2,Vis.
2455814.31111,7.2,Vis.
2455820.263,7.2,Vis.
2455820.33,7.2,Vis.
2455821.31667,7.2,Vis.
2455826.44097,7.2,Vis.
2456162.42014,7.2,Vis.
2456164.30694,7.2,Vis.
2456164.3546,7.2,Vis.
2456170.573,7.2,Vis.
2456174.30694,7.2,Vis.
2456175.466,7.2,Vis.
2456175.5813,7.2,Vis.
2456176.4174,7.2,Vis.
2456178.5361,7.2,Vis.
2456179.3688,7.2,Vis.
2456182.5,7.2,Vis.
2456186.1389,7.2,Vis.
2456186.5819,7.2,Vis.
2456186.6,7.2,Vis.
2456187.3146,7.2,Vis.
2456192.26806,7.2,Vis.
2456192.33125,7.2,Vis.
2456194.6,7.2,Vis.
2456197.26528,7.2,Vis.
2456197.441,7.2,Vis.
2456202.4,7.2,Vis.
2456210.25069,7.2,Vis.
2456534.4069,7.2,Vis.
2456535.29444,7.2,Vis.
2456541.6,7.2,Vis.
2456543.3,7.2,Vis.
2456543.3509,7.2,Vis.
2456544.3409,7.2,Vis.
2456566.3819,7.2,Vis.
2456570.26111,7.2,Vis.
2456570.3,7.2,Vis.
2456571.4562,7.2,Vis.
2456571.6,7.2,Vis.
2456575.2792,7.2,Vis.
2456577.25,7.2,Vis.
2456581.3979,7.2,Vis.
2456587.5646,7.2,Vis.
2456590.23958,7.2,Vis.
2456591.19722,7.2,Vis.
2456930.24,7.2,Vis.
2456935.28819,7.2,Vis.
2456951.24583,7.2,Vis.
2456958.3,7.2,Vis.
2456958.4292,7.2,Vis.
2457109.9,7.2,Vis.
